Wall time,Step,Value
1652568744.5222466,13776,-0.8392245769500732
1652568766.0205443,13824,-0.848900556564331
1652568767.2874415,13827,-0.8479319214820862
1652568784.514535,13868,-0.8513841032981873
1652568803.0239923,13911,-0.8382857441902161
1652568840.3068936,13998,-0.8202090263366699
1652568863.2653975,14051,-0.8438230752944946
1652568914.520523,14170,-0.8548498749732971
1652569007.9189582,14385,-0.849075436592102
1652569009.9667509,14390,-0.8448598384857178
1652569028.2899394,14433,-0.8548496961593628
1652569042.2503116,14465,-0.8452663421630859
1652569043.9660718,14469,-0.8440205454826355
1652569201.3110285,14834,-0.8599703311920166
1652569224.3258996,14885,-0.8588342666625977
1652569242.9166236,14928,-0.8533698320388794
1652569258.4474657,14962,-0.8469436168670654
1652569276.0835586,15003,-0.8481380939483643
1652569307.7469127,15078,-0.8429009914398193
1652569320.6439786,15109,-0.8436118364334106
1652569356.0360312,15190,-0.850090742111206
1652569364.8185754,15211,-0.8463519215583801
1652569367.2310944,15217,-0.8415647745132446
1652569444.4631596,15390,-0.8397489190101624
1652569470.022943,15442,-0.8458884954452515
1652569528.3185859,15578,-0.84159255027771
1652569532.695306,15588,-0.8519340753555298
1652569545.0039499,15617,-0.8526211380958557
1652569564.3867407,15662,-0.8584247827529907
1652569634.2192779,15820,-0.8594049215316772
1652569642.9606497,15840,-0.8350448608398438
1652569670.063235,15906,-0.846248984336853
1652569712.3901272,16005,-0.8444820642471313
1652569716.6845474,16013,-0.8347117900848389
1652569736.9944062,16062,-0.8567006587982178
1652569743.58988,16078,-0.8419783115386963
1652569798.5441785,16207,-0.8490376472473145
1652569840.0667655,16305,-0.85897296667099
1652569851.1570446,16330,-0.8571306467056274
1652569901.2706218,16441,-0.8505171537399292
1652569937.45372,16524,-0.8447943925857544
1652569952.629577,16559,-0.8588931560516357
1652569959.6334238,16574,-0.865976870059967
1652570035.4908926,16747,-0.844539999961853
1652570058.495229,16798,-0.8594235181808472
1652570060.9958103,16804,-0.8459571599960327
1652570079.954051,16848,-0.8532506227493286
1652570086.8151402,16864,-0.8432793617248535
1652570102.3760858,16896,-0.859545111656189
1652570117.2129886,16932,-0.8467735052108765
1652570123.5288844,16947,-0.8454941511154175
1652570190.4754424,17098,-0.8486264944076538
1652570208.4191184,17139,-0.8506693840026855
1652570266.421282,17272,-0.863516628742218
1652570326.5086362,17406,-0.8518681526184082
1652570339.5758934,17437,-0.8495533466339111
1652570397.0298092,17573,-0.8621578216552734
1652570545.2761083,17925,-0.8432435393333435
1652570565.9867098,17971,-0.8536944389343262
1652570598.4725673,18047,-0.8481197357177734
1652570598.8876796,18048,-0.8620820641517639
1652570626.1026495,18109,-0.8494734764099121
1652570661.4082825,18189,-0.8690794706344604
1652570699.5625334,18278,-0.8605537414550781
1652570715.6113472,18316,-0.8559569120407104
1652570867.2200668,18656,-0.8490303754806519
1652570919.1012673,18770,-0.8495465517044067
1652570934.475518,18806,-0.8729210495948792
1652570941.9661999,18822,-0.8454752564430237
1652570943.22111,18825,-0.8582824468612671
1652570954.5533977,18852,-0.8528449535369873
1652570973.9334393,18896,-0.8594241738319397
1652571056.11307,19089,-0.8690454959869385
1652571058.9697208,19096,-0.865572452545166
1652571059.366588,19097,-0.8537701964378357
1652571125.6390352,19249,-0.8578913807868958
1652571189.4923222,19395,-0.8683189153671265
1652571207.9049554,19436,-0.8648804426193237
1652571270.8579543,19583,-0.8652880787849426
1652571304.4329154,19660,-0.8543126583099365
1652571333.3060367,19723,-0.8660769462585449
1652571337.4092731,19733,-0.8595808744430542
1652571354.2788975,19770,-0.8598924875259399
1652571425.7942739,19938,-0.8745359182357788
1652571487.2919855,20076,-0.8590355515480042
1652571543.4900248,20205,-0.8544600009918213
1652571547.2520328,20214,-0.8598191738128662
1652571549.3155694,20219,-0.8595592975616455
1652571550.9950957,20223,-0.8647226095199585
1652571681.1395946,20522,-0.8618621230125427
1652571711.4307935,20592,-0.8564459085464478
1652571717.6519258,20607,-0.8633444905281067
1652571721.8367953,20617,-0.86149001121521
1652571736.2251067,20652,-0.8653302192687988
1652571851.429538,20917,-0.8569607138633728
1652571853.9529884,20923,-0.856381893157959
